도서명,부제목,출간일,분야,정가,평점,쪽수,eBook 여부,제목 길이,순위,베스트셀러 여부
넛지 : 똑똑한 선택을 이끄는 힘(양장본 HardCover),,20090422,경제/경영,15500,8.8,428,1,18,10,1
라틴어 수업(지적이고 아름다운 삶을 위한),,20190429,인문,15000,9.2,312,1,6,11,1
"명견만리: 정치, 생애, 직업, 탐구 편",지금까지 경험하지 못한 새로운 사회를 말하다,20170605,경제/경영,15800,9.6,304,1,22,12,1
나를 보내지마(모던 클래식 3),,20091120,소설,13000,9.1,399,1,7,13,1
사피엔스,유인원에서 사이보그까지 인간 역사의 대담하고 위대한 질문,20151124,인문,22000,9.3,636,1,4,14,1
사랑의 온도,착한 스프는 전화를 받지 않는다,20170918,소설,13000,8.7,256,0,6,15,1
원피스. 86: 사황 암살 작전,,20170926,만화,5000,8.7,208,1,17,16,1
호모 데우스,미래의 역사,20170519,인문,22000,9.3,630,1,6,17,1
좀비고등학교 코믹스. 3,,20171015,어린이(초등),9800,8.5,160,0,13,18,1
나의 문화유산답사기. 9: 서울편(1),만천명월 주인옹은 말한다,20170821,역사/문화,18500,9,440,0,18,19,1
보노보노처럼 살다니 다행이야(윈터 에디션),,20170406,시/에세이,16000,9.2,320,0,15,20,1
기사단장 죽이기. 1: 현현하는 이데아(양장본 HardCover),무라카미 하루키 장편소설,20170712,소설,16300,9.2,568,1,21,21,1
노르웨이의 숲(양장본 HardCover),,20170807,소설,15000,9.1,572,1,7,22,1
#너에게(스페셜 에디션),"너에게 보내는 편지, 완글",20170825,시/에세이,12800,9.3,272,1,4,23,1
어떻게 살 것인가,,20130313,인문,15000,9.2,342,1,9,24,1
미움받을 용기,자유롭고 행복한 삶을 위한 아들러의 가르침,20141117,인문,14900,9.2,336,1,7,25,1
힐빌리의 노래,위기의 가정과 문화에 대한 회고,20170904,시/에세이,14800,9.2,428,1,7,26,1
약간의 거리를 둔다,소노 아야코 에세이,20161020,시/에세이,9900,8.6,160,1,10,27,1
남한산성,김훈 장편소설,20170705,소설,16000,9.6,448,0,4,28,1
지적 대화를 위한 넓고 얕은 지식,"역사, 경제, 정치, 사회, 윤리 편",20170117,인문,16000,9.1,376,0,18,29,1
너의 췌장을 먹고 싶어(노블판),,20170401,소설,13800,9.5,328,0,12,30,1
지성만이 무기다,읽기에서 시작하는 어른들의 공부법,20170925,인문,14000,9,264,1,8,31,1
2019 부의 대절벽,피할 수 없는 거대한 붕괴가 시작된다,20170908,경제/경영,17000,7.9,388,1,11,32,1
"명견만리: 윤리, 기술, 중국, 교육 편",우리가 준비해야 할 미래의 기회를 말하다,20160921,경제/경영,15800,9.6,320,1,22,33,1
오직 두 사람,김영하 소설,20170525,소설,13000,9.2,272,1,7,34,1
OtvN 프리미엄 특강쇼 어쩌다 어른,,20170910,인문,15000,9.1,260,1,20,35,1
채식주의자,,20071030,소설,12000,8.7,247,0,5,36,1
"명견만리: 인구, 경제, 북한, 의료 편",향후 인류에게 가장 중요한 것들을 말하다,20160607,경제/경영,15800,9.5,296,1,22,37,1
